marriageID,childID
uuid:8f53ac63-57bf-42f8-a8c8-e94c9c8dd5e5,uuid:166870a7-8f77-474d-ae71-ece867bcca67
uuid:8f53ac63-57bf-42f8-a8c8-e94c9c8dd5e5,uuid:6d81a364-656f-4e28-a534-71e1dea42a01
uuid:8f53ac63-57bf-42f8-a8c8-e94c9c8dd5e5,uuid:bad8b075-e94c-422e-83f8-895da5a255f8
uuid:8b0e2f38-b6e8-4b29-afdd-4b1528924db9,uuid:cb3db41d-664f-41a9-b7de-43c9facb2894
uuid:8b0e2f38-b6e8-4b29-afdd-4b1528924db9,uuid:1cde8f33-8449-4624-aaab-40206bbce49a
uuid:6c8e9417-5764-4f76-b110-04d3bc7231fd,uuid:7a770241-4238-4ec6-a75e-c994cba25bcd
uuid:53ed7296-32db-451b-9ce6-e3253bc217ea,uuid:4df1d5ca-8fd7-4d62-85f8-05540e19beb7
NA,NA
