marriage,partner1,partner2,mStat
uuid:8f53ac63-57bf-42f8-a8c8-e94c9c8dd5e5,uuid:fa554ff9-99b6-4e31-8a23-6db3bc2e624a,uuid:cb3db41d-664f-41a9-b7de-43c9facb2894,M
uuid:53ed7296-32db-451b-9ce6-e3253bc217ea,uuid:166870a7-8f77-474d-ae71-ece867bcca67,uuid:cbfaebde-f64b-4f78-a605-8f6f1a40449a,M
uuid:6c8e9417-5764-4f76-b110-04d3bc7231fd,uuid:166870a7-8f77-474d-ae71-ece867bcca67,uuid:97eaea06-9158-47b8-bf31-d498113a98d9,D
uuid:8b0e2f38-b6e8-4b29-afdd-4b1528924db9,uuid:d3017c90-766c-4035-a8d8-48787d0c7749,uuid:f192f637-5c45-4422-8f32-bde7dde8ac21,W
uuid:86034f17-5c97-4e97-9971-94691218e2f3,uuid:bad8b075-e94c-422e-83f8-895da5a255f8,uuid:6634338b-6a86-4ccb-aa67-80728f87bdcd,M
